File,Py==SimpleITK,Py==MONAI,SimpleITK==MONAI,Py_MONAI_RMSE,Py_SITK_RMSE,SITK_MONAI_RMSE,Py_MONAI_MaxError,Py_SITK_MaxError,SITK_MONAI_MaxError,Py_MONAI_DifferentPixels,Py_SITK_DifferentPixels,SITK_MONAI_DifferentPixels
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-002\38609\28174\99d9bce9-a4d5-4c53-bdb3-65cbd64b0d80.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-002\38609\30846\0d3220cf-c1e2-45dd-b3e2-af125beb8a15.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-002\38609\95826\39ea0987-7be5-4b9c-aa5c-a538ab0f085a.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-003\75401\29910\495f767d-377c-41ed-8df7-c79c44b23d02.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-003\75401\77879\4a2c814f-ecaa-4f8e-9560-d12d73136891.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-003\75401\87708\84a0a112-63c6-4aff-85e3-b36715c38f03.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-004\74801\20613\ab591baa-8f19-46e2-87ed-8f65adbcdd28.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-004\74801\45195\9c0b66c1-7cfc-4532-8465-2653574096bd.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-004\74801\97603\574a4303-0c53-4982-b2b2-19f0670c94ff.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-005\65398\06068\a8f6217f-e04d-4b2a-92ba-dd13274260af.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-005\65398\75585\cc79a9d0-2a38-4de6-b3b5-a15c97e81143.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-006\66481\07914\08453398-3c91-4159-adf9-77bd4617c61f.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-006\66481\91124\b6643095-f59a-4981-b8c2-b4b5f6f75977.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-006\66481\92512\645085d6-7b68-4c47-b8f3-e3cc43506581.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-007\43168\07743\768d05c1-d6a0-43b9-9902-60ceabd25411.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-007\43168\18129\4a6fad44-7808-4948-9c61-790a372e0904.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-007\43168\88977\b792dd7d-037d-4aff-a4c6-bd1a4da91bf1.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-008\10738\29176\c9e6239f-905b-4dc5-9940-9856ff3e87a8.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-008\10738\79969\d073c4a4-e371-4fe1-9c3c-ea1ca1457e75.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-008\10738\99432\e918c59f-45bf-4672-b5aa-a6de3b2e00fb.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-009\07486\04805\4ccdad1a-2bb3-47ad-8f02-3cc1bb569930.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-009\07486\06303\f7b1da0e-6038-4e72-88f7-5e1cce8d3420.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-010\44625\39074\7c84b34c-5bb1-4749-bfed-c33d67050a49.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-010\44625\59442\d7295975-6181-40d4-ac57-7bb513fd52f5.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-011\51076\52298\9ae77092-3320-4891-94b6-cb9d6261d124.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-011\51076\58846\0e7e8c4d-53fb-466a-ada5-ca5f5b459dff.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-011\51076\95415\24fdbe25-ca89-411c-80ed-e1bb034603e6.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-012\92092\49673\e4339c41-2acd-48ed-bfdc-ee9d5de5bce7.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-012\92092\60287\6facb5b9-e623-4dd9-bf40-f4515f0c4ce3.dcm,True,,,,0.0,,,0.0,,,0.0,
