filename,dataset,comparison_status,manufacturer,manufacturer_model,sop_class,transfer_syntax,photometric,n_frames,doppler_candidate,evidence,raw_array_shape,monai_shape_CHW,acquisition_type,monai_ready,spp_validation,root_cause
9ddc39ff-0e0e-4a94-9ad6-d1abe5e5efb3.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x378x378,"(1, 226, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
7cce71ed-26e5-493d-b0b3-841da054a6a1.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
671baff3-a465-4f73-b199-ba47846b3d7f.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x358x358,"(1, 226, 358, 358)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
a8b262b6-a7e6-4e9f-abbe-20cb8fedd67d.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x366x366,"(1, 227, 366, 366)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
f1a46c2c-9dec-4785-b207-f236e695ab5f.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x358x358,"(1, 226, 358, 358)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
a289663e-a0d0-4cc4-8e19-16425680f83a.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,228,False,no validated evidence,228x366x366,"(1, 228, 366, 366)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
2fa7e48a-0d10-4203-955b-951b73a3f9f7.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x366x366,"(1, 227, 366, 366)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
5e9f29f8-91c4-4aa8-b10e-10c0c768e5e7.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x364x364,"(1, 226, 364, 364)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
1152b329-3102-4a45-b332-a3e4ea68b5a9.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,226,False,no validated evidence,226x360x360,"(1, 226, 360, 360)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
ca5f9496-c28e-4aaa-bbbe-6d815d0afb1f.dcm,TCIA_IDC_Prostate_MRI_US_Biopsy,both_ok,Eigen,Artemis,Ultrasound Multi-frame Image Storage,Explicit VR Little Endian,MONOCHROME2,227,False,no validated evidence,227x378x378,"(1, 227, 378, 378)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
